City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Khatanga,RU,2021-05-26 22:57:15,71.9667,102.5,269.18,95,48,4.66
116,Mangan,IN,2021-05-26 22:57:16,27.5167,88.5333,295.77,98,100,0.24
117,Axim,GH,2021-05-26 22:57:18,4.8699,-2.2405,299.99,85,48,4.16
118,Bangkok,TH,2021-05-26 22:53:43,13.75,100.5167,303.63,65,100,2.16
119,Quatre Cocos,MU,2021-05-26 22:57:20,-20.2078,57.7625,295.42,89,14,2.64
120,Strezhevoy,RU,2021-05-26 22:57:21,60.7333,77.5889,280.14,97,100,4.05
121,Zhezkazgan,KZ,2021-05-26 22:57:23,47.8043,67.7144,295.04,25,41,2.6
122,Barrow,US,2021-05-26 22:55:04,71.2906,-156.7887,272.73,97,98,5.43
123,Hun,LY,2021-05-26 22:54:04,29.1268,15.9477,299.02,28,0,1.91
124,Abu Zabad,SD,2021-05-26 22:57:26,12.35,29.25,303.75,36,99,2.66
125,Santa Maria,BR,2021-05-26 22:57:28,-29.6842,-53.8069,285.76,88,0,1.56
126,Berlevag,NO,2021-05-26 22:57:29,70.8578,29.0864,276.62,79,39,4.41
127,Kruisfontein,ZA,2021-05-26 22:57:30,-34.0033,24.7314,283.09,83,100,2.0
128,Esperance,AU,2021-05-26 22:56:01,-33.8667,121.9,284.06,65,100,7.01
129,Leeton,AU,2021-05-26 22:57:33,-34.5667,146.4,279.18,93,4,3.71
130,Vestmannaeyjar,IS,2021-05-26 22:55:56,63.4427,-20.2734,280.41,83,59,11.35
131,Chokurdakh,RU,2021-05-26 22:57:35,70.6333,147.9167,277.94,73,64,4.3
132,Saldanha,ZA,2021-05-26 22:57:36,-33.0117,17.9442,285.18,85,100,2.45
133,Viloco,BO,2021-05-26 22:57:38,-16.95,-67.55,280.8,65,68,1.59
134,Chipata,ZM,2021-05-26 22:54:29,-13.6333,32.65,284.56,70,0,2.31
135,Klaksvik,FO,2021-05-26 22:57:41,62.2266,-6.589,278.66,76,99,7.51
136,Lucapa,AO,2021-05-26 22:57:42,-8.4192,20.7447,289.93,52,3,1.65
137,Husavik,IS,2021-05-26 22:54:38,66.0449,-17.3389,285.1,72,95,2.8
138,Chaman,PK,2021-05-26 22:57:44,30.9236,66.4512,297.4,10,0,1.77
139,Avera,US,2021-05-26 22:57:46,33.194,-82.5271,306.32,40,30,4.76
140,Terrace Bay,CA,2021-05-26 22:57:47,48.7834,-87.1,282.94,40,6,6.75
141,Hamilton,US,2021-05-26 22:56:44,39.1834,-84.5333,297.2,88,75,1.34
142,Sovetskiy,RU,2021-05-26 22:57:49,61.3614,63.5842,277.4,73,99,4.72
143,Vao,NC,2021-05-26 22:57:52,-22.6667,167.4833,295.25,70,7,4.58
144,Olinda,BR,2021-05-26 22:57:42,-8.0089,-34.8553,297.0,78,40,6.17
145,Tottori,JP,2021-05-26 22:57:55,35.5,134.2333,288.19,94,90,3.6
146,Hermanus,ZA,2021-05-26 22:55:38,-34.4187,19.2345,287.54,78,97,1.98
147,Suining,CN,2021-05-26 22:57:58,30.508,105.5733,291.52,87,100,1.68
148,Lebu,CL,2021-05-26 22:55:30,-37.6167,-73.65,287.29,94,100,2.15
149,Bengkulu,ID,2021-05-26 22:58:01,-3.8004,102.2655,298.4,81,97,2.05
150,Coihaique,CL,2021-05-26 22:58:02,-45.5752,-72.0662,282.49,76,90,1.54
151,Clyde River,CA,2021-05-26 22:54:46,70.4692,-68.5914,272.28,86,18,6.69
152,Nizhniy Tsasuchey,RU,2021-05-26 22:58:05,50.5167,115.1333,283.43,63,71,2.67
153,Codrington,AU,2021-05-26 22:58:06,-38.2667,141.9667,285.67,78,58,6.09
154,Boali,CF,2021-05-26 22:58:07,4.8005,18.1275,295.05,95,92,1.22
155,Sao Filipe,CV,2021-05-26 22:58:09,14.8961,-24.4956,296.61,75,0,3.99
156,Pochutla,MX,2021-05-26 22:54:02,15.7432,-96.4661,306.05,54,88,1.53
157,Rapid Valley,US,2021-05-26 22:55:22,44.0625,-103.1463,283.93,78,90,7.2
158,Rocha,UY,2021-05-26 22:58:14,-34.4833,-54.3333,287.14,73,45,7.06
159,Ponta Do Sol,PT,2021-05-26 22:54:01,32.6667,-17.1,292.04,74,96,2.69
160,Bac Lieu,VN,2021-05-26 22:58:16,9.285,105.7244,298.75,89,100,5.33
161,Envira,BR,2021-05-26 22:58:18,-7.3,-70.2167,299.54,69,83,0.41
162,Kontagora,NG,2021-05-26 22:58:19,10.3999,5.4695,303.34,41,76,2.98
163,Chuy,UY,2021-05-26 22:58:20,-33.6971,-53.4616,285.54,79,66,4.49
164,Selikhino,RU,2021-05-26 22:58:22,50.3672,137.4996,279.28,82,100,1.21
165,Roma,US,2021-05-26 22:58:23,43.2128,-75.4557,295.74,91,90,2.57
166,Thompson,CA,2021-05-26 22:56:46,55.7435,-97.8558,278.24,42,20,5.14
167,Alice Springs,AU,2021-05-26 22:57:34,-23.7,133.8833,278.9,75,17,5.87
168,Anadyr,RU,2021-05-26 22:58:26,64.75,177.4833,284.43,40,0,11.62
169,Kurilsk,RU,2021-05-26 22:58:28,45.2333,147.8833,276.67,93,99,4.7
170,San Cristobal,VE,2021-05-26 22:58:29,7.7669,-72.225,296.42,64,84,1.88
171,Meulaboh,ID,2021-05-26 22:58:30,4.1363,96.1285,298.76,89,100,6.87
172,Canto Do Buriti,BR,2021-05-26 22:58:31,-8.11,-42.9444,299.66,37,5,2.5
173,Severo-Kurilsk,RU,2021-05-26 22:58:33,50.6789,156.125,276.72,98,100,5.3
174,Tasiilaq,GL,2021-05-26 22:58:34,65.6145,-37.6368,276.92,89,100,15.21
175,San Patricio,US,2021-05-26 22:58:35,28.017,-97.5169,304.55,72,45,6.93
176,Hithadhoo,MV,2021-05-26 22:58:36,-0.6,73.0833,301.91,70,100,9.4
